"Facility Name","Facility ID","State","Measure Name","Number of Discharges","Footnote","Excess Readmission Ratio","Predicted Readmission Rate","Expected Readmission Rate","Number of Readmissions","Start Date","End Date"
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.9875,4.5734,4.6311,Too Few to Report,07/01/2021,06/30/2024
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-CABG-HRRP,137,,0.9531,10.3960,10.9078,13,07/01/2021,06/30/2024
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-AMI-HRRP,273,,0.9370,13.2998,14.1948,33,07/01/2021,06/30/2024
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-COPD-HRRP,122,,0.9823,16.6384,16.9389,19,07/01/2021,06/30/2024
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-PN-HRRP,507,,0.9871,15.7529,15.9591,79,07/01/2021,06/30/2024
SOUTHEAST HEALTH MEDICAL CENTER,010001,AL,READM-30-HF-HRRP,653,,1.0233,20.5695,20.1010,136,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-COPD-HRRP,132,,0.9308,16.8541,18.1080,17,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HF-HRRP,164,,1.0087,20.9512,20.7700,35,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-HIP-KNEE-HRRP,N/A,,0.8602,4.6113,5.3609,Too Few to Report,07/01/2021,06/30/2024
MARSHALL MEDICAL CENTERS,010005,AL,READM-30-PN-HRRP,292,,0.8727,13.3116,15.2532,30,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-AMI-HRRP,285,,0.9195,11.6567,12.6772,29,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HIP-KNEE-HRRP,N/A,,1.0527,6.0830,5.7783,Too Few to Report,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-PN-HRRP,679,,0.9819,15.6444,15.9334,105,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-HF-HRRP,461,,0.9925,19.2066,19.3517,88,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-CABG-HRRP,N/A,,1.0027,11.1697,11.1399,Too Few to Report,07/01/2021,06/30/2024
NORTH ALABAMA MEDICAL CENTER,010006,AL,READM-30-COPD-HRRP,174,,1.0520,19.1045,18.1604,37,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-PN-HRRP,84,,1.0345,16.3360,15.7913,16,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-AMI-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HF-HRRP,39,,1.0620,19.6947,18.5446,12,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-HIP-KNEE-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-COPD-HRRP,N/A,,1.0232,16.5931,16.2168,Too Few to Report,07/01/2021,06/30/2024
MIZELL MEMORIAL HOSPITAL,010007,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HIP-KNEE-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-PN-HRRP,N/A,,1.0017,13.4114,13.3883,Too Few to Report,07/01/2021,06/30/2024
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-HF-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-CABG-HRRP,N/A,5,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
CRENSHAW COMMUNITY HOSPITAL,010008,AL,READM-30-COPD-HRRP,N/A,1,N/A,N/A,N/A,N/A,07/01/2021,06/30/2024
